country,region,crop,year,window,season_days,rain_sum,rain_mean,dry_days_1mm,dry_days_2mm,max_dry_spell_1mm,dry_spell_events_7d,dry_spell_events_14d,heavy_rain_days_10,heavy_rain_days_20,heavy_rain_days_25,heavy_rain_days_50,max_1day_rain,max_3day_rain,max_7day_rain,wet_days_1mm,season_tmax_mean,season_tmin_mean,season_tmean_mean,growing_degree_days_base5,heat_days_30,heat_days_35,heat_days_40,max_consecutive_heat_days_30,max_consecutive_heat_days_35,heatwave_events_3d_30,heatwave_events_3d_35,heat_degree_days_30,heat_degree_days_35,hot_dry_days_30_1mm,frost_days_0,cold_days_5,min_tmin,frost_events_2d,radiation_sum,radiation_mean,rain_sum_early,heat_days_35_early,frost_days_0_early,radiation_sum_early,max_3day_rain_early,rain_sum_mid,heat_days_35_mid,frost_days_0_mid,radiation_sum_mid,max_3day_rain_mid,rain_sum_late,heat_days_35_late,frost_days_0_late,radiation_sum_late,max_3day_rain_late,lat,lon,yield_t_ha,trend_yield_t_ha,trend_residual_t_ha,trend_residual_z,is_low_yield_anomaly
United States,Oklahoma,Wheat,1990,winter,303.0,872.12,2.878,218.0,232.0,35.0,9.0,4.0,28.0,15.0,11.0,1.0,51.12,87.71,126.6,85.0,18.787,6.446,12.617,2593.705,33.0,5.0,0.0,17.0,2.0,3.0,0.0,93.87,1.69,24.0,82.0,140.0,-22.17,17.0,4752.02,15.683,216.54,1.0,20.0,1526.25,87.71,310.89,0.0,58.0,1158.29,78.17,344.69,4.0,4.0,2067.48,79.17,35.5,-97.5,2.152,1.8919809309309272,0.2600190690690729,0.6411459150569354,False
United States,South Dakota,Wheat,1990,spring,183.0,359.29,1.963,119.0,136.0,23.0,5.0,2.0,10.0,1.0,0.0,0.0,24.91,33.41,50.17,64.0,26.091,11.571,18.831,2563.455,66.0,17.0,2.0,17.0,3.0,9.0,2.0,247.43,36.52,44.0,22.0,28.0,-6.34,3.0,3879.8,21.201,125.61,0.0,22.0,1250.67,33.41,150.18,9.0,0.0,1455.81,32.7,83.5,8.0,0.0,1173.32,18.92,44.5,-100.0,2.2731,2.104032582582576,0.16906741741742382,0.4523428558836784,False
United States,Texas,Wheat,1990,winter,303.0,542.34,1.79,229.0,250.0,29.0,13.0,5.0,18.0,5.0,3.0,0.0,41.72,67.19,81.36,74.0,24.506,10.694,17.6,3907.305,86.0,41.0,4.0,43.0,18.0,7.0,5.0,431.19,110.86,70.0,29.0,87.0,-17.31,3.0,5094.45,16.813,99.33,10.0,4.0,1628.75,25.76,188.58,0.0,25.0,1298.41,37.71,254.43,31.0,0.0,2167.29,67.19,31.0,-99.0,2.0848,1.9818722222222203,0.10292777777777973,0.4448252740667002,False
United States,Washington,Wheat,1990,winter,303.0,879.83,2.904,155.0,191.0,24.0,7.0,2.0,21.0,3.0,2.0,0.0,41.44,82.5,119.24,148.0,9.08,-0.571,4.255,708.755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,256.0,-19.42,10.0,3400.17,11.222,268.33,0.0,42.0,974.46,44.12,413.15,0.0,98.0,656.74,82.5,198.35,0.0,22.0,1768.97,24.78,47.4,-120.7,4.0687,3.8837551051051005,0.1849448948948993,0.3533537143161321,False
United States,Colorado,Barley,1991,spring,183.0,307.78,1.682,95.0,127.0,14.0,5.0,1.0,2.0,0.0,0.0,0.0,14.0,26.75,45.55,88.0,18.768,3.17,10.969,1219.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,94.0,-9.88,5.0,3913.54,21.385,83.3,0.0,44.0,1325.57,14.32,129.48,0.0,1.0,1387.43,26.75,95.0,0.0,6.0,1200.54,20.9,39.0,-105.5,4.3041,5.016868065208058,-0.7127680652080581,-1.2701015815104855,True
United States,Kansas,Barley,1991,spring,183.0,385.34,2.106,114.0,131.0,16.0,5.0,1.0,11.0,1.0,0.0,0.0,21.43,41.61,70.69,69.0,29.803,16.459,23.131,3318.055,93.0,37.0,8.0,21.0,8.0,9.0,4.0,438.9,116.69,60.0,0.0,10.0,3.21,0.0,3858.66,21.086,191.74,0.0,0.0,1154.29,41.61,90.27,28.0,0.0,1504.77,23.38,103.33,9.0,0.0,1199.6,20.23,38.5,-98.0,1.7754,2.0279513494031534,-0.25255134940315327,-0.4374360269699624,False
United States,Minnesota,Barley,1991,spring,183.0,668.22,3.651,92.0,110.0,7.0,2.0,0.0,23.0,4.0,2.0,0.0,37.11,63.91,85.82,91.0,21.297,10.407,15.852,2023.02,10.0,0.0,0.0,6.0,0.0,2.0,0.0,11.91,0.0,5.0,17.0,44.0,-5.15,4.0,3373.14,18.432,244.96,0.0,16.0,1048.94,51.92,247.85,0.0,0.0,1287.23,32.5,175.41,0.0,1.0,1036.97,63.91,46.0,-94.0,2.69,2.923534650364644,-0.23353465036464405,-0.4544067954652547,False
United States,Montana,Barley,1991,spring,183.0,384.66,2.102,90.0,120.0,11.0,4.0,0.0,7.0,0.0,0.0,0.0,14.83,39.25,54.55,93.0,20.23,6.767,13.499,1663.815,17.0,0.0,0.0,5.0,0.0,2.0,0.0,26.31,0.0,13.0,30.0,63.0,-6.35,3.0,3814.93,20.847,197.01,0.0,28.0,1106.41,39.25,125.74,0.0,0.0,1522.31,25.32,61.91,0.0,2.0,1186.21,17.02,47.0,-110.0,2.7976,2.537208700128698,0.2603912998713023,0.7304970218125473,False
United States,Nebraska,Barley,1991,spring,183.0,421.36,2.303,121.0,132.0,17.0,6.0,1.0,13.0,4.0,1.0,0.0,27.72,44.05,68.09,62.0,26.484,12.967,19.725,2696.38,60.0,20.0,1.0,15.0,5.0,7.0,3.0,231.04,44.41,46.0,6.0,32.0,-1.9,2.0,3797.84,20.753,229.06,0.0,5.0,1145.84,44.05,98.22,13.0,0.0,1434.24,17.47,94.08,7.0,1.0,1217.76,40.7,41.5,-99.8,2.0444,2.226551428571419,-0.18215142857141897,-0.4167429548453433,False
United States,North Dakota,Barley,1991,spring,183.0,372.59,2.036,121.0,133.0,14.0,7.0,1.0,7.0,0.0,0.0,0.0,19.29,30.36,38.96,62.0,23.481,10.209,16.845,2198.895,31.0,5.0,0.0,8.0,3.0,4.0,1.0,78.85,6.23,23.0,21.0,46.0,-5.21,5.0,3529.94,19.289,120.47,0.0,19.0,1056.82,27.88,137.05,3.0,0.0,1411.01,25.57,115.07,2.0,2.0,1062.11,30.36,47.5,-100.5,2.6362,2.6265989575289552,0.009601042471044874,0.026820999884768153,False
United States,Oklahoma,Barley,1991,spring,183.0,629.34,3.439,106.0,124.0,8.0,5.0,0.0,21.0,9.0,6.0,0.0,35.21,60.21,104.37,77.0,29.584,18.108,23.846,3448.89,88.0,31.0,0.0,23.0,8.0,7.0,3.0,351.99,50.54,62.0,0.0,2.0,4.4,0.0,3819.68,20.873,218.12,0.0,0.0,1207.99,44.26,155.51,19.0,0.0,1456.55,41.56,255.71,12.0,0.0,1155.14,60.21,35.5,-97.5,2.0982,2.040161212121221,0.05803878787877892,0.16714806287688933,False
United States,South Dakota,Barley,1991,spring,183.0,467.24,2.553,125.0,139.0,17.0,9.0,1.0,15.0,4.0,3.0,0.0,43.85,61.88,113.73,58.0,25.971,12.502,19.236,2618.99,53.0,18.0,2.0,15.0,8.0,8.0,2.0,210.92,46.3,38.0,10.0,36.0,-4.76,2.0,3727.61,20.369,240.8,0.0,10.0,1117.12,58.27,149.12,9.0,0.0,1452.42,61.88,77.32,9.0,0.0,1158.07,26.58,44.5,-100.0,2.0982,2.4198863776427704,-0.3216863776427705,-0.68114978036493,False
United States,Texas,Barley,1991,spring,183.0,556.07,3.039,96.0,113.0,9.0,4.0,0.0,16.0,3.0,3.0,0.0,29.91,48.2,81.41,87.0,31.497,19.121,25.309,3716.485,121.0,38.0,0.0,40.0,8.0,6.0,6.0,448.21,42.95,64.0,0.0,0.0,5.13,0.0,3914.8,21.392,188.41,1.0,0.0,1264.34,47.57,186.78,19.0,0.0,1494.48,48.2,180.88,18.0,0.0,1155.98,26.1,31.0,-99.0,1.7216,2.0867878787878986,-0.3651878787878986,-1.1631674506228415,True
