crop,region,year,step,feature,from_value,to_value,standardized_delta,prediction_before_t_ha,prediction_after_t_ha,prediction_gain_t_ha
Wheat,Oklahoma,1996,3,dry_days_1mm,243.0,231.25,0.8353844559573221,-0.586537692174688,-0.4288498386132251,0.15768785356146287
Wheat,Oklahoma,1996,4,heatwave_events_3d_30,4.0,3.0,0.45643546458763845,-0.4288498386132251,-0.3629989950894996,0.0658508435237255
Wheat,Texas,1996,1,wet_days_1mm,61.0,62.0,0.05268308729197961,-0.25613301073069,-0.2398377100117945,0.01629530071889551
Wheat,Texas,1996,2,rain_mean,1.412,1.6625,0.3823624491023172,-0.2398377100117945,-0.1810501480782733,0.05878756193352119
Wheat,Texas,1996,3,dry_days_2mm,255.0,252.25,0.17280755694544073,-0.1810501480782733,-0.16283314921818862,0.018216998860084682
Wheat,Texas,1996,4,max_1day_rain,27.19,27.02,0.009330548097224655,-0.16283314921818862,-0.16203962746786688,0.0007935217503217407
Barley,North Dakota,1997,1,rain_mean,1.612,1.7215,0.2399573705607321,-0.38282307319527126,-0.3154914344027575,0.06733163879251375
Barley,North Dakota,1997,2,heat_degree_days_35,0.36,0.89,0.06909012094345299,-0.3154914344027575,-0.29754677547886876,0.017944658923888746
Barley,North Dakota,1997,3,rain_sum,295.06,315.025,0.23909744101968383,-0.29754677547886876,-0.24336676663562704,0.05418000884324173
Barley,North Dakota,1997,4,max_consecutive_heat_days_30,5.0,4.0,0.3599610598007206,-0.24336676663562704,-0.20304482496542428,0.040321941670202754
Oats,North Dakota,1997,1,heat_degree_days_35,0.36,0.89,0.06909012094345299,-0.37263532938445326,-0.35736959830558856,0.015265731078864697
Oats,North Dakota,1997,2,rain_mean,1.612,1.7215,0.2399573705607321,-0.35736959830558856,-0.30554599090386125,0.05182360740172731
Oats,North Dakota,1997,3,rain_sum,295.06,315.025,0.23909744101968383,-0.30554599090386125,-0.26350427650580643,0.04204171439805482
Oats,North Dakota,1997,4,heatwave_events_3d_30,6.0,2.0,2.0846152851444657,-0.26350427650580643,-0.05763626514589713,0.20586801135990931
Wheat,Minnesota,1997,1,max_1day_rain,25.97,25.81,0.012918975073605708,-0.3695394814985779,-0.3635535693050517,0.005985912193526177
Wheat,Minnesota,1997,2,heat_days_30,3.0,2.0,0.09453711175993426,-0.3635535693050517,-0.3341857704074913,0.029367798897560415
Wheat,Minnesota,1997,3,hot_dry_days_30_1mm,0.0,2.0,0.24470101049255838,-0.3341857704074913,-0.26235227486265633,0.07183349554483498
Wheat,Minnesota,1997,4,max_3day_rain,44.84,44.41,0.025997502370985446,-0.26235227486265633,-0.25658402048583046,0.0057682543768258765
Wheat,North Dakota,1997,1,rain_mean,1.612,1.7215,0.2399573705607321,-0.4414811817702143,-0.3777501299607027,0.06373105180951161
Wheat,North Dakota,1997,2,heat_degree_days_35,0.36,0.89,0.06909012094345299,-0.3777501299607027,-0.36029416307352086,0.017455966887181817
Wheat,North Dakota,1997,3,rain_sum,295.06,315.025,0.23909744101968383,-0.36029416307352086,-0.30701432349152724,0.053279839581993615
Wheat,North Dakota,1997,4,max_consecutive_heat_days_30,5.0,4.0,0.3599610598007206,-0.30701432349152724,-0.26439977619127103,0.04261454730025621
Wheat,South Dakota,1997,1,heat_degree_days_35,0.35,3.72,0.10700146085624067,-0.3628615886264406,-0.3415473220372042,0.021314266589236353
Wheat,South Dakota,1997,2,rain_mean,2.651,2.58425,0.14953524407311108,-0.3415473220372042,-0.3187910893915173,0.022756232645686936
Wheat,South Dakota,1997,3,max_consecutive_heat_days_30,6.0,8.25,0.2939134051230406,-0.3187910893915173,-0.28193438084999217,0.03685670854152512
Wheat,South Dakota,1997,4,heat_days_40,0.0,1.0,0.4322415299500074,-0.28193438084999217,-0.23316385533663755,0.04877052551335462
Oats,Illinois,1998,1,max_consecutive_heat_days_30,5.0,3.5,0.16399222758890042,-0.3527369222879043,-0.3120088378226514,0.040728084465252945
Oats,Illinois,1998,2,heat_degree_days_35,0.0,0.30000000000000004,0.01769728028920942,-0.3120088378226514,-0.30932660759058966,0.002682230232061711
Oats,Illinois,1998,3,max_7day_rain,79.11,65.89500000000001,0.5322179673141257,-0.30932660759058966,-0.2541704556488425,0.05515615194174717
Oats,Illinois,1998,4,dry_days_1mm,103.0,103.5,0.052183553023885006,-0.2541704556488425,-0.24883870771519465,0.005331747933647851
Barley,Minnesota,1999,1,heavy_rain_days_10,20.0,18.0,0.3932066892024847,-0.31345193846471475,-0.27305009039414335,0.0404018480705714
Barley,Minnesota,1999,2,rain_mean,3.595,2.99,1.0036358589525465,-0.27305009039414335,-0.19032773332320063,0.08272235707094272
Barley,Minnesota,1999,3,rain_sum,657.89,547.17,1.0035599874078587,-0.19032773332320063,-0.12246043512246958,0.06786729820073105
Barley,Minnesota,1999,4,max_consecutive_heat_days_30,4.0,3.0,0.30046495804789,-0.12246043512246958,-0.10463497595198817,0.01782545917048141
Barley,Texas,1999,1,rain_sum,299.66,311.58000000000004,0.10541218979477479,-0.16342191979194914,-0.144793513716505,0.018628406075444137
