crop,region,year,window,dominant_feature,driver_group,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,n_changed_features,changed_features_json
Oats,Oklahoma,2007,spring,dry_days_1mm,drought,1.1119,1.4218895645530942,0.3099895645530941,-0.2861401100633047,-0.21678977868884813,0.06935033137445656,0.22371827733761804,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 1.11, ""to"": 0.0, ""standardized_delta"": 0.0105, ""prediction_gain_t_ha"": 0.0066}, {""feature"": ""max_consecutive_heat_days_35"", ""from"": 2.0, ""to"": 0.0, ""standardized_delta"": 0.1744, ""prediction_gain_t_ha"": 0.0146}, {""feature"": ""dry_days_1mm"", ""from"": 102.0, ""to"": 109.0, ""standardized_delta"": 0.6115, ""prediction_gain_t_ha"": 0.0391}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 15.0, ""to"": 12.0, ""standardized_delta"": 0.1525, ""prediction_gain_t_ha"": 0.009}]"
Oats,Texas,2007,spring,max_dry_spell_1mm,drought,1.4347,1.6283626726726688,0.19366267267266868,-0.1379352927258298,-0.05232140302435744,0.08561388970147235,0.44207739426470755,4,"[{""feature"": ""wet_days_1mm"", ""from"": 78.0, ""to"": 74.0, ""standardized_delta"": 0.2996, ""prediction_gain_t_ha"": 0.0247}, {""feature"": ""max_dry_spell_1mm"", ""from"": 15.0, ""to"": 21.0, ""standardized_delta"": 0.5133, ""prediction_gain_t_ha"": 0.0368}, {""feature"": ""heat_days_40"", ""from"": 0.0, ""to"": 1.0, ""standardized_delta"": 0.0914, ""prediction_gain_t_ha"": 0.0072}, {""feature"": ""dry_days_1mm"", ""from"": 105.0, ""to"": 109.0, ""standardized_delta"": 0.2996, ""prediction_gain_t_ha"": 0.017}]"
Oats,Washington,2007,spring,max_consecutive_heat_days_30,heat,1.7934,2.402076798029558,0.608676798029558,-0.39625313347482016,-0.1386871984505627,0.25756593502425745,0.4231571432623423,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.007, ""standardized_delta"": 0.0053, ""prediction_gain_t_ha"": 0.0035}, {""feature"": ""wet_days_1mm"", ""from"": 41.0, ""to"": 52.0, ""standardized_delta"": 0.9403, ""prediction_gain_t_ha"": 0.0966}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 0.9658, ""prediction_gain_t_ha"": 0.1163}, {""feature"": ""rain_sum"", ""from"": 153.37, ""to"": 169.885, ""standardized_delta"": 0.2986, ""prediction_gain_t_ha"": 0.0412}]"
Wheat,Illinois,2007,winter,heavy_rain_days_25,excess_rain,3.6988,4.139612402402378,0.44081240240237785,-0.3804620708433123,-0.15579805192991966,0.22466401891339263,0.5096590243128348,4,"[{""feature"": ""max_3day_rain"", ""from"": 81.3, ""to"": 85.025, ""standardized_delta"": 0.1466, ""prediction_gain_t_ha"": 0.0278}, {""feature"": ""heavy_rain_days_25"", ""from"": 5.0, ""to"": 3.0, ""standardized_delta"": 0.888, ""prediction_gain_t_ha"": 0.1169}, {""feature"": ""max_7day_rain"", ""from"": 81.43, ""to"": 65.86, ""standardized_delta"": 0.5388, ""prediction_gain_t_ha"": 0.0674}, {""feature"": ""max_1day_rain"", ""from"": 39.25, ""to"": 40.96, ""standardized_delta"": 0.1263, ""prediction_gain_t_ha"": 0.0126}]"
Wheat,Kansas,2007,winter,max_consecutive_heat_days_35,heat,2.2193,2.6848428185328217,0.46554281853282165,-0.3934896463275198,-0.2879003000801105,0.10558934624740929,0.2268090969165386,4,"[{""feature"": ""heat_degree_days_35"", ""from"": 0.44, ""to"": 0.0, ""standardized_delta"": 0.0236, ""prediction_gain_t_ha"": 0.0166}, {""feature"": ""heat_days_35"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.1627, ""prediction_gain_t_ha"": 0.0367}, {""feature"": ""min_tmin"", ""from"": -17.78, ""to"": -17.82, ""standardized_delta"": 0.0131, ""prediction_gain_t_ha"": 0.0022}, {""feature"": ""max_consecutive_heat_days_35"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.41, ""prediction_gain_t_ha"": 0.05}]"
Oats,North Dakota,2008,spring,max_3day_rain,excess_rain,1.8292,2.250635165165157,0.4214351651651571,-0.28863123730265206,-0.19345487347583937,0.09517636382681269,0.22583868574306992,4,"[{""feature"": ""heat_degree_days_30"", ""from"": 40.82, ""to"": 40.025, ""standardized_delta"": 0.0186, ""prediction_gain_t_ha"": 0.0033}, {""feature"": ""max_7day_rain"", ""from"": 75.62, ""to"": 74.145, ""standardized_delta"": 0.0612, ""prediction_gain_t_ha"": 0.0069}, {""feature"": ""max_3day_rain"", ""from"": 54.36, ""to"": 46.25, ""standardized_delta"": 0.5328, ""prediction_gain_t_ha"": 0.0539}, {""feature"": ""max_consecutive_heat_days_30"", ""from"": 5.0, ""to"": 4.0, ""standardized_delta"": 0.36, ""prediction_gain_t_ha"": 0.0311}]"
Oats,Illinois,2009,spring,heavy_rain_days_50,excess_rain,2.3314,2.642631252681241,0.3112312526812411,-0.2853030568871728,-0.09624803396192196,0.18905502292525084,0.6074422838212796,4,"[{""feature"": ""max_consecutive_heat_days_30"", ""from"": 7.0, ""to"": 3.5, ""standardized_delta"": 0.3826, ""prediction_gain_t_ha"": 0.0708}, {""feature"": ""heat_degree_days_30"", ""from"": 9.51, ""to"": 10.005, ""standardized_delta"": 0.0067, ""prediction_gain_t_ha"": 0.0012}, {""feature"": ""heavy_rain_days_50"", ""from"": 0.0, ""to"": 1.0, ""standardized_delta"": 1.3612, ""prediction_gain_t_ha"": 0.1152}, {""feature"": ""max_1day_rain"", ""from"": 32.25, ""to"": 32.6925, ""standardized_delta"": 0.032, ""prediction_gain_t_ha"": 0.0019}]"
Wheat,Illinois,2009,winter,heavy_rain_days_10,excess_rain,3.7661,4.281818348348338,0.5157183483483383,-0.49520728957797083,-0.17647131328720356,0.3187359762907673,0.6180427307105997,4,"[{""feature"": ""dry_spell_events_14d"", ""from"": 0.0, ""to"": 1.0, ""standardized_delta"": 0.8822, ""prediction_gain_t_ha"": 0.0747}, {""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 0.67, ""standardized_delta"": 0.1651, ""prediction_gain_t_ha"": 0.0126}, {""feature"": ""heavy_rain_days_10"", ""from"": 36.0, ""to"": 17.5, ""standardized_delta"": 2.8195, ""prediction_gain_t_ha"": 0.1811}, {""feature"": ""heatwave_events_3d_30"", ""from"": 1.0, ""to"": 0.0, ""standardized_delta"": 0.8128, ""prediction_gain_t_ha"": 0.0504}]"
Wheat,Oklahoma,2009,winter,rain_mean,drought,1.4795,2.1043432217932185,0.6248432217932185,-0.5624911604710294,-0.2342652808047574,0.32822587966627204,0.525293174701178,4,"[{""feature"": ""rain_mean"", ""from"": 1.735, ""to"": 2.113, ""standardized_delta"": 0.6656, ""prediction_gain_t_ha"": 0.1625}, {""feature"": ""heatwave_events_3d_30"", ""from"": 2.0, ""to"": 3.0, ""standardized_delta"": 0.4564, ""prediction_gain_t_ha"": 0.0558}, {""feature"": ""wet_days_1mm"", ""from"": 72.0, ""to"": 80.5, ""standardized_delta"": 0.6023, ""prediction_gain_t_ha"": 0.0543}, {""feature"": ""rain_sum"", ""from"": 525.78, ""to"": 640.165, ""standardized_delta"": 0.6647, ""prediction_gain_t_ha"": 0.0557}]"
Wheat,Texas,2009,winter,dry_days_1mm,drought,1.6813,2.091565555555553,0.4102655555555528,-0.4085366637598174,-0.17225439032403966,0.23628227343577773,0.5759252031670582,4,"[{""feature"": ""rain_mean"", ""from"": 1.522, ""to"": 1.6625, ""standardized_delta"": 0.2145, ""prediction_gain_t_ha"": 0.0375}, {""feature"": ""wet_days_1mm"", ""from"": 51.0, ""to"": 52.0, ""standardized_delta"": 0.0527, ""prediction_gain_t_ha"": 0.0122}, {""feature"": ""dry_days_1mm"", ""from"": 252.0, ""to"": 227.0, ""standardized_delta"": 1.316, ""prediction_gain_t_ha"": 0.1424}, {""feature"": ""max_7day_rain"", ""from"": 94.73, ""to"": 69.315, ""standardized_delta"": 0.6942, ""prediction_gain_t_ha"": 0.0442}]"
Oats,Illinois,2010,spring,heatwave_events_3d_30,heat,2.3314,2.6661502359502194,0.33475023595021947,-0.32565499685347715,-0.17248060275627863,0.15317439409719852,0.45757815125177986,4,"[{""feature"": ""max_consecutive_heat_days_30"", ""from"": 6.0, ""to"": 3.5, ""standardized_delta"": 0.2733, ""prediction_gain_t_ha"": 0.0494}, {""feature"": ""heatwave_events_3d_30"", ""from"": 2.0, ""to"": 4.0, ""standardized_delta"": 0.757, ""prediction_gain_t_ha"": 0.0915}, {""feature"": ""dry_days_1mm"", ""from"": 103.0, ""to"": 103.5, ""standardized_delta"": 0.0522, ""prediction_gain_t_ha"": 0.0036}, {""feature"": ""heat_degree_days_35"", ""from"": 0.0, ""to"": 2.885, ""standardized_delta"": 0.1702, ""prediction_gain_t_ha"": 0.0087}]"
Oats,Iowa,2010,spring,rain_mean,drought,2.2238,2.5357452166452106,0.31194521664521035,-0.32054298106125745,-0.18191618568366533,0.13862679537759212,0.4443946820805358,4,"[{""feature"": ""heat_days_30"", ""from"": 16.0, ""to"": 17.5, ""standardized_delta"": 0.0702, ""prediction_gain_t_ha"": 0.0059}, {""feature"": ""heatwave_events_3d_30"", ""from"": 1.0, ""to"": 4.5, ""standardized_delta"": 1.1451, ""prediction_gain_t_ha"": 0.0653}, {""feature"": ""dry_spell_events_7d"", ""from"": 1.0, ""to"": 2.75, ""standardized_delta"": 0.8211, ""prediction_gain_t_ha"": 0.0257}, {""feature"": ""rain_mean"", ""from"": 5.479, ""to"": 4.314, ""standardized_delta"": 1.3117, ""prediction_gain_t_ha"": 0.0417}]"
Oats,Oklahoma,2010,spring,heavy_rain_days_10,excess_rain,1.1836,1.4399857754010696,0.25638577540106966,-0.12620544292579014,-0.07758449415944445,0.04862094876634569,0.189639806226718,4,"[{""feature"": ""heavy_rain_days_10"", ""from"": 18.0, ""to"": 19.0, ""standardized_delta"": 0.1795, ""prediction_gain_t_ha"": 0.0165}, {""feature"": ""max_consecutive_heat_days_35"", ""from"": 10.0, ""to"": 12.0, ""standardized_delta"": 0.1744, ""prediction_gain_t_ha"": 0.0159}, {""feature"": ""wet_days_1mm"", ""from"": 61.0, ""to"": 63.0, ""standardized_delta"": 0.1747, ""prediction_gain_t_ha"": 0.0116}, {""feature"": ""rain_mean"", ""from"": 3.162, ""to"": 3.227, ""standardized_delta"": 0.0826, ""prediction_gain_t_ha"": 0.0045}]"
Wheat,Illinois,2010,winter,heavy_rain_days_10,excess_rain,3.8333,4.352921321321304,0.5196213213213041,-0.5444590809134124,-0.2264091292276085,0.31804995168580397,0.6120802565935127,4,"[{""feature"": ""dry_spell_events_14d"", ""from"": 0.0, ""to"": 1.0, ""standardized_delta"": 0.8822, ""prediction_gain_t_ha"": 0.0656}, {""feature"": ""growing_degree_days_base5"", ""from"": 1918.325, ""to"": 1930.045, ""standardized_delta"": 0.0661, ""prediction_gain_t_ha"": 0.0046}, {""feature"": ""heavy_rain_days_10"", ""from"": 42.0, ""to"": 17.5, ""standardized_delta"": 3.7339, ""prediction_gain_t_ha"": 0.2346}, {""feature"": ""max_7day_rain"", ""from"": 99.83, ""to"": 108.83, ""standardized_delta"": 0.3114, ""prediction_gain_t_ha"": 0.0134}]"
