crop,region,year,window,driver_group,dominant_feature,observed_yield_t_ha,trend_yield_t_ha,yield_gap_t_ha,base_predicted_residual_t_ha,counterfactual_predicted_residual_t_ha,recovered_gap_t_ha,recoverable_fraction,analog_year,analog_distance,analog_rank_used,fallback_region_window_pool
Barley,Kansas,2006,spring,drought,dry_spell_events_7d,1.4526,2.2455274300742367,0.7929274300742368,-0.686653617429608,0.8703023468897904,0.686653617429608,0.8659728386055718,2024,0.6647161956508961,3,False
Barley,North Dakota,2006,spring,heat,heatwave_events_3d_35,2.6362,3.140758996138999,0.5045589961389987,-0.50535609988981,0.33989468020695424,0.5045589961389987,1.0,2024,1.206765258778931,7,False
Oats,Nebraska,2006,spring,drought,max_dry_spell_1mm,1.614,2.140521548691547,0.5265215486915469,-0.4488460116413031,0.38266227537462083,0.4488460116413031,0.8524741537297487,2003,0.9562487251931656,6,False
Oats,North Dakota,2006,spring,heat,heatwave_events_3d_35,1.4706,2.19897228228227,0.72837228228227,-0.5626513352572949,0.5355243733728717,0.5626513352572949,0.77247768612816,2024,1.206765258778931,6,False
Oats,Oklahoma,2006,spring,excess_rain,max_7day_rain,1.076,1.4158574942704352,0.3398574942704351,-0.2703555612513351,0.32491262710087193,0.2703555612513351,0.7954968356125313,2023,0.9730856855445366,7,False
Oats,South Dakota,2006,spring,heat,heat_degree_days_35,2.0444,2.425140776490764,0.380740776490764,-0.37801054827284947,0.26444601312013744,0.37801054827284947,0.9928291678052489,2024,1.2303266543806788,8,False
Oats,Texas,2006,spring,heat,max_consecutive_heat_days_30,1.3271,1.6211435735735709,0.2940435735735709,-0.24534870471475378,0.25459168920491776,0.24534870471475378,0.8343957384716199,1998,0.7128335303414459,2,False
Wheat,Colorado,2006,winter,drought,dry_spell_events_7d,1.4526,2.324860197340195,0.8722601973401951,-0.7171610619012548,0.646272364451293,0.7171610619012548,0.8221870768471519,2016,1.0056270314603148,9,False
Wheat,Kansas,2006,winter,excess_rain,heavy_rain_days_20,2.152,2.6669951222651207,0.5149951222651206,-0.4907236113502071,0.38789734076399635,0.4907236113502071,0.952870406212472,2025,1.1821823502743993,6,False
Wheat,North Dakota,2006,spring,heat,heatwave_events_3d_35,2.0377,2.5244801887601795,0.4867801887601795,-0.5071468959236508,0.44869950920040674,0.4867801887601795,1.0,2024,1.206765258778931,6,False
Wheat,Oklahoma,2006,winter,drought,max_dry_spell_1mm,1.614,2.07081233376233,0.45681233376232977,-0.4721322862255011,0.5579193691312002,0.45681233376232977,1.0,1998,1.6370216101279271,10,False
Wheat,South Dakota,2006,spring,heat,heat_degree_days_35,2.1924,2.6963431102531104,0.5039431102531102,-0.4404229527144999,0.43724369507659755,0.4404229527144999,0.8739537137302924,2024,1.2303266543806788,7,False
Wheat,Texas,2006,winter,heat,heatwave_events_3d_35,1.614,2.074245555555553,0.4602455555555529,-0.41749037151577595,0.28798682052749863,0.41749037151577595,0.9071035373971877,1998,1.0335546210412079,9,False
Canola,North Dakota,2007,spring,excess_rain,heavy_rain_days_20,1.3786,1.7255859663865607,0.34698596638656065,-0.24153588235735152,0.28636470585273105,0.24153588235735152,0.6960969772716047,2018,1.0313448447295854,1,False
Oats,Colorado,2007,spring,drought,dry_spell_events_14d,1.9727,2.3164122167487804,0.3437122167487805,-0.24117719311599733,0.3011447653098484,0.24117719311599733,0.7016835054550125,2016,0.6933387754477647,2,False
Oats,Illinois,2007,spring,frost_cold,frost_days_0,2.2238,2.59559328614327,0.3717932861432698,-0.2661535853788734,0.42872987344677166,0.2661535853788734,0.7158644206294561,2025,0.7689103437059345,1,False
Oats,Oklahoma,2007,spring,excess_rain,heavy_rain_days_50,1.1119,1.4218895645530942,0.3099895645530941,-0.2861401100633047,0.25546677522987365,0.2861401100633047,0.9230636859528716,2019,1.443981472650743,5,False
Oats,Texas,2007,spring,heat,heat_days_30,1.4347,1.6283626726726688,0.19366267267266868,-0.1379352927258298,0.2090687408525255,0.1379352927258298,0.7122451158100557,2010,2.092718931194827,10,False
Oats,Washington,2007,spring,drought,dry_spell_events_14d,1.7934,2.402076798029558,0.608676798029558,-0.3962531334748202,0.45918406050779587,0.3962531334748202,0.6510074554469509,2012,0.5861009838566347,1,False
Wheat,Illinois,2007,winter,excess_rain,heavy_rain_days_10,3.6988,4.139612402402378,0.44081240240237785,-0.3804620708433125,0.6078738337560351,0.3804620708433125,0.8630929365186577,1997,0.9315960414852329,10,False
Wheat,Kansas,2007,winter,heat,max_consecutive_heat_days_35,2.2193,2.6848428185328217,0.46554281853282165,-0.39348964632751987,0.6094305791986426,0.39348964632751987,0.8452276152978141,2003,1.1861610923114974,4,False
Oats,North Dakota,2008,spring,drought,rain_sum,1.8292,2.250635165165157,0.4214351651651571,-0.28863123730265206,0.40388828211879246,0.28863123730265206,0.684876966044207,2019,0.9469594891840173,9,False
Oats,Illinois,2009,spring,excess_rain,max_1day_rain,2.3314,2.642631252681241,0.3112312526812411,-0.2853030568871728,0.2253807042489573,0.2853030568871728,0.9166915418336101,1990,0.6095617658952626,1,False
Wheat,Illinois,2009,winter,excess_rain,max_1day_rain,3.7661,4.281818348348338,0.5157183483483383,-0.495207289577971,0.3954511078116256,0.495207289577971,0.9602281771900169,1994,1.0536309526920287,1,False
Wheat,Oklahoma,2009,winter,heat,heatwave_events_3d_30,1.4795,2.1043432217932185,0.6248432217932185,-0.5624911604710294,0.4865176695252146,0.5624911604710294,0.9002116704679187,2003,0.900484776717456,5,False
Wheat,Texas,2009,winter,drought,dry_spell_events_14d,1.6813,2.091565555555553,0.4102655555555528,-0.4085366637598174,0.31207530807336215,0.4085366637598174,0.9957859201867575,1999,1.0752256570958276,10,False
